Date,Plant_ID,Plant_Name,Machine_ID,Machine_Type,Product_Line,Shift,Production_Units,Production_Value,Target_Production,Availability,Performance,Quality_Rate,OEE,Order_ID,Order_Date,Order_Value,Order_Due_Date,Order_Status,Billing_Date,Payment_Date,Downtime_Minutes,Downtime_Hours,Downtime_Reason,MTBF,MTTR,Fulfillment_Status,Fulfillment_Days
2023-01-01,P02,Chennai,M002,Welder,Engine Parts,Night,1056,390720,1006,80,81,97,63.35,,,,,,,,10,0.166666667,Quality Check,132,29,,
2023-01-01,P02,Chennai,M003,Press,Brakes,Night,884,329732,941,82,86,98,66.57,,,,,,,,16,0.266666667,Tool Change,175,28,,
2023-01-01,P02,Chennai,M004,Milling,Brakes,Night,941,373577,1002,76,86,95,52.07,,,,,,,,60,1,Preventive Maintenance,108,29,,
2023-01-01,P02,Chennai,M005,CNC,Brakes,Morning,835,302270,803,87,87,98,64.52,ORD1010,2022-12-29,354121,2023-01-04,Processing,,,28,0.466666667,Mechanical Failure,143,32,Delayed,8
2023-01-01,P02,Chennai,M006,Press,Chassis,Morning,861,324597,887,89,91,98,65.33,ORD1011,2022-12-28,270293,2023-01-02,Shipped,,,45,0.75,Software Issue,108,16,OnTime,4
2023-01-01,P02,Chennai,M007,Drill,Transmission,Morning,958,341048,1027,98,87,98,74.32,ORD1012,2022-12-31,398055,2023-01-08,Paid,2022-12-29,2023-01-01,24,0.4,Preventive Maintenance,184,29,OnTime,1
2023-01-01,P02,Chennai,M008,Lathe,Exhaust,Night,788,327020,857,82,90,96,70.89,,,,,,,,22,0.366666667,Operator Error,190,18,,
2023-01-01,P02,Chennai,M009,Grinder,Engine Parts,Night,1058,411562,1040,90,89,96,75.13,,,,,,,,29,0.483333333,Preventive Maintenance,126,30,,
2023-01-01,P02,Chennai,M010,Welder,Transmission,Night,1010,400970,1047,78,91,95,60.74,,,,,,,,19,0.316666667,Calibration,154,21,,
2023-01-01,P02,Chennai,M011,Press,Brakes,Night,1227,436812,1181,84,79,97,59.47,,,,,,,,33,0.55,Preventive Maintenance,110,45,,
2023-01-01,P02,Chennai,M012,CNC,Chassis,Night,1020,363120,1134,87,81,98,65.18,ORD1013,2022-12-29,289410,2023-01-05,Billed,2022-12-29,,17,0.283333333,Power Outage,139,39,OnTime,3
2023-01-01,P02,Chennai,M013,Grinder,Transmission,Night,874,314640,869,78,90,96,60.76,,,,,,,,51,0.85,Mechanical Failure,133,18,,
2023-01-01,P02,Chennai,M014,Drill,Transmission,Morning,965,359945,1051,93,93,97,79.26,ORD1014,2022-12-28,539830,2023-01-07,Billed,2022-12-29,,48,0.8,Software Issue,115,32,OnTime,4
2023-01-01,P02,Chennai,M015,Lathe,Suspension,Night,868,320292,905,85,80,95,58.98,ORD1015,2022-12-27,436951,2023-01-06,Paid,2022-12-31,2023-01-06,15,0.25,Mechanical Failure,161,35,OnTime,5
2023-01-01,P02,Chennai,M016,Press,Transmission,Morning,744,294624,831,95,88,97,74.33,,,,,,,,55,0.916666667,Electrical Fault,134,17,,
2023-01-01,P02,Chennai,M017,CNC,Engine Parts,Morning,881,340066,911,92,91,96,75.18,,,,,,,,32,0.533333333,Power Outage,122,27,,
2023-01-01,P02,Chennai,M018,Milling,Suspension,Night,891,323433,940,90,80,97,67.81,ORD1016,2022-12-27,311149,2023-01-01,Billed,2022-12-31,,31,0.516666667,Mechanical Failure,133,43,OnTime,5
2023-01-01,P02,Chennai,M019,Milling,Brakes,Night,1028,423536,1002,76,92,96,55.18,,,,,,,,55,0.916666667,Operator Error,105,30,,
2023-01-01,P02,Chennai,M020,Drill,Exhaust,Morning,814,289784,895,96,88,97,68.57,,,,,,,,54,0.9,Preventive Maintenance,125,29,,
2023-01-01,P02,Chennai,M021,Lathe,Exhaust,Night,1152,476928,1109,82,91,95,67.98,ORD1017,2022-12-26,228352,2023-01-03,Processing,,,11,0.183333333,Power Outage,133,32,Delayed,16
2023-01-01,P02,Chennai,M022,Press,Chassis,Morning,1034,382580,1126,94,86,97,72.96,,,,,,,,20,0.333333333,Material Shortage,113,35,,
2023-01-01,P02,Chennai,M023,Press,Exhaust,Morning,1117,412173,1149,88,85,97,63.41,,,,,,,,29,0.483333333,Material Shortage,106,18,,
2023-01-01,P02,Chennai,M024,Grinder,Exhaust,Morning,828,321264,912,86,96,99,75.66,,,,,,,,28,0.466666667,Tool Change,150,32,,
2023-01-01,P02,Chennai,M025,Drill,Chassis,Night,970,373450,1028,83,87,97,62.48,ORD1018,2022-12-30,219770,2023-01-05,Processing,,,52,0.866666667,Material Shortage,158,17,Delayed,12
2023-01-01,P03,Gurgaon,M001,Press,Engine Parts,Morning,725,295800,849,85,96,98,75.54,,,,,,,,29,0.483333333,Quality Check,195,34,,
2023-01-01,P03,Gurgaon,M002,Press,Brakes,Morning,977,396662,976,94,97,96,82.16,,,,,,,,52,0.866666667,Electrical Fault,153,36,,
2023-01-01,P03,Gurgaon,M003,Welder,Chassis,Morning,864,334368,928,91,97,99,80.37,,,,,,,,14,0.233333333,Tool Change,133,40,,
2023-01-01,P03,Gurgaon,M004,Grinder,Exhaust,Morning,897,320229,1042,96,93,98,75.77,ORD1019,2022-12-28,363402,2023-01-02,Processing,,,22,0.366666667,Quality Check,187,22,Delayed,10
2023-01-01,P03,Gurgaon,M005,Welder,Engine Parts,Night,1062,441792,1175,87,90,96,68.33,,,,,,,,30,0.5,Quality Check,161,35,,
2023-01-01,P03,Gurgaon,M006,Drill,Engine Parts,Morning,789,325068,909,98,90,98,84.53,,,,,,,,11,0.183333333,Mechanical Failure,178,21,,
2023-01-01,P03,Gurgaon,M007,Press,Engine Parts,Morning,989,346150,1058,98,97,99,86.54,,,,,,,,11,0.183333333,Tool Change,141,37,,
2023-01-01,P03,Gurgaon,M008,Milling,Transmission,Night,1057,440769,1017,90,87,96,70.77,,,,,,,,42,0.7,Operator Error,129,21,,
2023-01-01,P03,Gurgaon,M009,Drill,Exhaust,Morning,1025,412050,1183,88,89,99,68.32,,,,,,,,30,0.5,Tool Change,170,33,,
2023-01-01,P03,Gurgaon,M010,Grinder,Transmission,Morning,965,402405,934,89,86,98,71.79,,,,,,,,41,0.683333333,Material Shortage,132,40,,
2023-01-01,P03,Gurgaon,M011,Drill,Chassis,Night,1013,423434,967,77,89,97,63.95,,,,,,,,18,0.3,Preventive Maintenance,121,18,,
2023-01-01,P03,Gurgaon,M012,Press,Transmission,Morning,809,326836,937,91,93,99,80.66,,,,,,,,11,0.183333333,Power Outage,141,38,,
2023-01-01,P03,Gurgaon,M013,Lathe,Transmission,Morning,1059,390771,1161,88,85,97,62.9,,,,,,,,19,0.316666667,Mechanical Failure,107,38,,
2023-01-01,P03,Gurgaon,M014,Grinder,Engine Parts,Night,918,324972,1062,86,87,98,64.04,,,,,,,,35,0.583333333,Material Shortage,162,45,,
2023-01-01,P03,Gurgaon,M015,Lathe,Transmission,Morning,1060,424000,1096,90,91,98,73.9,,,,,,,,49,0.816666667,Power Outage,101,16,,
2023-01-01,P03,Gurgaon,M016,Lathe,Suspension,Night,1048,395096,1086,81,83,97,56.12,ORD1020,2022-12-29,578909,2023-01-06,Processing,,,31,0.516666667,Material Shortage,109,27,Delayed,10
2023-01-01,P03,Gurgaon,M017,Grinder,Engine Parts,Night,1006,422520,1051,78,87,97,59.92,,,,,,,,32,0.533333333,Power Outage,118,34,,
2023-01-01,P03,Gurgaon,M018,Press,Transmission,Morning,1156,430032,1186,91,86,96,70.25,ORD1021,2022-12-25,213686,2023-01-01,Shipped,,,31,0.516666667,Operator Error,132,38,OnTime,7
2023-01-01,P03,Gurgaon,M019,Grinder,Suspension,Night,880,314160,880,78,92,98,64.47,,,,,,,,45,0.75,Mechanical Failure,105,39,,
2023-01-01,P03,Gurgaon,M020,Welder,Chassis,Morning,1084,415172,1093,86,86,97,66.29,,,,,,,,26,0.433333333,Preventive Maintenance,119,37,,
2023-01-01,P03,Gurgaon,M021,Drill,Transmission,Night,1075,411725,1063,79,85,95,58.27,,,,,,,,55,0.916666667,Calibration,116,35,,
2023-01-01,P03,Gurgaon,M022,Welder,Chassis,Morning,885,326565,905,88,88,98,69.1,,,,,,,,31,0.516666667,Quality Check,136,41,,
2023-01-01,P03,Gurgaon,M023,Welder,Exhaust,Morning,811,310613,833,93,89,99,73.62,,,,,,,,48,0.8,Power Outage,143,16,,
2023-01-01,P03,Gurgaon,M024,Drill,Exhaust,Night,963,342828,1063,84,81,95,60.89,ORD1022,2022-12-31,445606,2023-01-09,Processing,,,27,0.45,Power Outage,100,42,Delayed,4
2023-01-01,P03,Gurgaon,M025,Press,Brakes,Night,993,397200,1157,79,88,95,58.68,ORD1023,2022-12-25,328671,2022-12-31,Paid,2022-12-29,2023-01-05,30,0.5,Material Shortage,162,34,OnTime,7
2023-01-01,P04,Bengaluru,M001,Press,Suspension,Night,1121,443916,1198,76,81,95,58.27,,,,,,,,17,0.283333333,Calibration,112,18,,
2023-01-01,P04,Bengaluru,M002,CNC,Suspension,Night,934,374534,980,79,85,98,54.13,,,,,,,,55,0.916666667,Software Issue,132,23,,
2023-01-01,P04,Bengaluru,M003,Welder,Chassis,Night,721,282632,809,79,82,96,58.81,,,,,,,,30,0.5,Power Outage,197,16,,
2023-01-01,P04,Bengaluru,M004,Press,Suspension,Night,729,297432,843,85,92,97,63.28,,,,,,,,56,0.933333333,Operator Error,171,25,,
2023-01-01,P04,Bengaluru,M005,Welder,Suspension,Night,873,344835,999,85,91,97,66.69,,,,,,,,23,0.383333333,Operator Error,193,36,,
2023-01-01,P04,Bengaluru,M006,CNC,Exhaust,Morning,919,321650,1023,90,94,96,80.12,,,,,,,,22,0.366666667,Operator Error,154,34,,
2023-01-01,P04,Bengaluru,M007,Drill,Brakes,Morning,940,357200,932,87,96,98,73.21,,,,,,,,21,0.35,Preventive Maintenance,117,39,,
2023-01-01,P04,Bengaluru,M008,Lathe,Suspension,Morning,917,358547,944,88,88,98,71.55,,,,,,,,50,0.833333333,Operator Error,138,37,,
2023-01-01,P04,Bengaluru,M009,Drill,Exhaust,Morning,749,304094,832,92,95,99,82.01,,,,,,,,45,0.75,Mechanical Failure,114,43,,
2023-01-01,P04,Bengaluru,M010,Welder,Chassis,Morning,800,324000,892,85,86,98,61.81,,,,,,,,21,0.35,Preventive Maintenance,145,34,,
2023-01-01,P04,Bengaluru,M011,Milling,Exhaust,Night,1067,373450,1159,83,79,98,64.26,,,,,,,,12,0.2,Quality Check,102,28,,
2023-01-01,P04,Bengaluru,M012,Grinder,Brakes,Night,914,337266,934,78,82,96,59.01,,,,,,,,33,0.55,Operator Error,181,37,,
2023-01-01,P04,Bengaluru,M013,Grinder,Brakes,Night,903,359394,1063,81,85,96,58.18,ORD1024,2022-12-28,204540,2023-01-02,Shipped,,,34,0.566666667,Electrical Fault,195,20,OnTime,4
2023-01-01,P04,Bengaluru,M014,CNC,Exhaust,Night,1177,419012,1148,76,90,97,59.43,,,,,,,,38,0.633333333,Quality Check,157,40,,
2023-01-01,P04,Bengaluru,M015,Lathe,Exhaust,Night,826,294056,857,89,78,98,62.8,,,,,,,,19,0.316666667,Quality Check,122,23,,
2023-01-01,P04,Bengaluru,M016,Lathe,Exhaust,Night,1020,409020,1106,87,81,98,62.21,,,,,,,,13,0.216666667,Quality Check,150,21,,
2023-01-01,P04,Bengaluru,M017,Lathe,Transmission,Morning,865,324375,884,85,89,96,60.7,,,,,,,,44,0.733333333,Power Outage,187,44,,
2023-01-01,P04,Bengaluru,M018,Milling,Engine Parts,Night,878,345054,970,87,78,97,59.6,,,,,,,,19,0.316666667,Electrical Fault,104,31,,
2023-01-01,P04,Bengaluru,M019,Press,Engine Parts,Night,1047,434505,1072,78,85,96,51.5,,,,,,,,52,0.866666667,Mechanical Failure,166,15,,
2023-01-01,P04,Bengaluru,M020,CNC,Brakes,Night,894,365646,1026,88,91,97,72.06,,,,,,,,12,0.2,Preventive Maintenance,195,22,,
2023-01-01,P04,Bengaluru,M021,Drill,Engine Parts,Night,977,344881,994,81,78,98,56.73,,,,,,,,53,0.883333333,Calibration,109,42,,
2023-01-01,P04,Bengaluru,M022,Lathe,Chassis,Night,1164,439992,1167,77,89,96,58.25,,,,,,,,44,0.733333333,Software Issue,168,28,,
2023-01-01,P04,Bengaluru,M023,Press,Engine Parts,Night,1008,423360,1097,80,79,98,59.96,,,,,,,,24,0.4,Quality Check,156,41,,
2023-01-01,P04,Bengaluru,M024,Press,Engine Parts,Night,799,319600,931,88,79,98,64.03,,,,,,,,36,0.6,Power Outage,190,25,,
2023-01-01,P04,Bengaluru,M025,Lathe,Exhaust,Night,949,390039,948,75,92,96,58.81,,,,,,,,44,0.733333333,Software Issue,189,44,,
2023-01-01,P05,Delhi,M001,Grinder,Chassis,Night,978,359904,1039,79,80,97,59.3,,,,,,,,37,0.616666667,Calibration,173,28,,
2023-01-01,P05,Delhi,M002,Drill,Engine Parts,Morning,769,279916,810,98,86,97,72.67,,,,,,,,42,0.7,Mechanical Failure,145,29,,
2023-01-01,P05,Delhi,M003,Lathe,Engine Parts,Night,1152,421632,1129,88,83,97,58.6,,,,,,,,53,0.883333333,Calibration,142,26,,
2023-01-01,P05,Delhi,M004,Drill,Brakes,Morning,1067,375584,1126,89,95,96,79.41,,,,,,,,22,0.366666667,Tool Change,183,34,,
2023-01-01,P05,Delhi,M005,Drill,Exhaust,Night,1147,469123,1136,82,89,98,68.75,,,,,,,,21,0.35,Software Issue,134,27,,
2023-01-01,P05,Delhi,M006,Milling,Chassis,Night,1081,409699,1135,76,89,96,59.61,,,,,,,,29,0.483333333,Power Outage,179,17,,
2023-01-01,P05,Delhi,M007,Grinder,Exhaust,Night,891,341253,1030,88,84,97,58.7,,,,,,,,56,0.933333333,Software Issue,152,37,,
2023-01-01,P05,Delhi,M008,Grinder,Transmission,Morning,1000,351000,1141,98,90,96,77.22,,,,,,,,26,0.433333333,Operator Error,157,21,,
2023-01-01,P05,Delhi,M009,CNC,Brakes,Morning,798,335160,817,92,94,98,82.94,,,,,,,,25,0.416666667,Power Outage,165,34,,
2023-01-01,P05,Delhi,M010,Grinder,Engine Parts,Night,1058,430606,1108,86,78,95,53.7,ORD1025,2022-12-25,344282,2023-01-01,Produced,,,48,0.8,Quality Check,172,30,Delayed,12
2023-01-01,P05,Delhi,M011,Milling,Chassis,Night,990,398970,998,84,90,96,69.86,,,,,,,,25,0.416666667,Mechanical Failure,188,31,,
2023-01-01,P05,Delhi,M012,CNC,Engine Parts,Night,1010,381780,1175,83,91,97,64.84,ORD1026,2022-12-29,320521,2023-01-05,Paid,2022-12-31,2023-01-05,48,0.8,Tool Change,186,30,OnTime,3
2023-01-01,P05,Delhi,M013,Milling,Brakes,Morning,941,356639,1064,91,87,96,71.73,,,,,,,,49,0.816666667,Calibration,142,30,,
2023-01-01,P05,Delhi,M014,Milling,Suspension,Night,948,385836,1083,76,82,97,57.49,ORD1027,2022-12-27,281972,2023-01-04,Paid,2022-12-29,2023-01-04,32,0.533333333,Calibration,109,24,OnTime,5
2023-01-01,P05,Delhi,M015,Grinder,Suspension,Morning,1026,427842,1087,92,90,98,68.09,,,,,,,,43,0.716666667,Calibration,114,45,,
2023-01-01,P05,Delhi,M016,CNC,Brakes,Night,1030,391400,991,79,79,96,50.56,,,,,,,,59,0.983333333,Mechanical Failure,144,31,,
2023-01-01,P05,Delhi,M017,Grinder,Exhaust,Morning,782,290904,890,90,90,96,65.13,,,,,,,,48,0.8,Electrical Fault,180,21,,
2023-01-01,P05,Delhi,M018,Lathe,Suspension,Night,1061,431827,1198,83,90,97,66.79,ORD1028,2022-12-26,561241,2023-01-04,Produced,,,14,0.233333333,Power Outage,150,24,Delayed,9
2023-01-01,P05,Delhi,M019,Press,Chassis,Night,864,341280,922,90,82,98,61.96,ORD1029,2022-12-25,553647,2022-12-30,Paid,2022-12-29,2023-01-03,38,0.633333333,Quality Check,129,43,OnTime,7
2023-01-01,P05,Delhi,M020,Welder,Exhaust,Morning,1017,361035,1112,95,93,96,75.87,,,,,,,,59,0.983333333,Power Outage,162,22,,
2023-01-01,P05,Delhi,M021,Welder,Brakes,Night,953,343080,1075,84,82,95,60.13,ORD1030,2022-12-29,442825,2023-01-06,Billed,2022-12-30,,29,0.483333333,Tool Change,137,29,OnTime,3
2023-01-01,P05,Delhi,M022,Milling,Exhaust,Morning,946,393536,1060,92,93,96,80.94,ORD1031,2022-12-27,399715,2023-01-01,Billed,2022-12-31,,21,0.35,Mechanical Failure,117,19,OnTime,5
2023-01-01,P05,Delhi,M023,Grinder,Exhaust,Night,1047,386343,1191,81,86,95,58.25,,,,,,,,33,0.55,Quality Check,177,17,,
2023-01-01,P05,Delhi,M024,Press,Brakes,Morning,1104,458160,1062,93,95,98,76.82,,,,,,,,33,0.55,Operator Error,177,19,,
2023-01-01,P05,Delhi,M025,Lathe,Chassis,Night,887,355687,958,79,88,98,63.5,,,,,,,,16,0.266666667,Calibration,131,26,,
2023-01-02,P01,Pune,M001,Milling,Chassis,Morning,1109,449145,1088,88,89,96,71.8,,,,,,,,27,0.45,Material Shortage,184,41,,
2023-01-02,P01,Pune,M002,Drill,Suspension,Night,797,302063,845,84,79,96,59.26,ORD1032,2023-01-01,377642,2023-01-10,Shipped,,,10,0.166666667,Tool Change,108,19,OnTime,1
2023-01-02,P01,Pune,M003,Welder,Brakes,Night,1002,399798,979,75,88,96,59.04,,,,,,,,13,0.216666667,Operator Error,172,23,,
2023-01-02,P01,Pune,M004,Lathe,Suspension,Morning,995,361185,1161,96,88,96,74.44,ORD1033,2022-12-30,326151,2023-01-04,Shipped,,,54,0.9,Mechanical Failure,172,19,OnTime,3
2023-01-02,P01,Pune,M005,Milling,Brakes,Morning,610,224480,1018,96,90,96,58.18,,,,,,,,162,2.7,Calibration,181,24,,
2023-01-02,P01,Pune,M006,Welder,Chassis,Morning,1123,414387,1155,97,89,98,72.51,,,,,,,,40,0.666666667,Power Outage,199,43,,
2023-01-02,P01,Pune,M007,Welder,Exhaust,Night,760,305520,829,77,80,98,54.54,,,,,,,,58,0.966666667,Material Shortage,131,36,,
2023-01-02,P01,Pune,M008,Press,Suspension,Morning,830,324530,828,93,94,96,76.46,,,,,,,,45,0.75,Calibration,111,21,,
2023-01-02,P01,Pune,M009,Welder,Transmission,Night,795,286995,924,84,92,95,64.17,,,,,,,,22,0.366666667,Electrical Fault,104,22,,
2023-01-02,P01,Pune,M010,Press,Exhaust,Morning,1127,416990,1140,95,86,96,77.33,,,,,,,,16,0.266666667,Electrical Fault,136,23,,
2023-01-02,P01,Pune,M011,Welder,Exhaust,Night,843,300951,889,90,85,97,64.28,ORD1034,2022-12-30,506728,2023-01-07,Paid,2022-12-30,2023-01-06,44,0.733333333,Tool Change,163,25,OnTime,3
2023-01-02,P01,Pune,M012,Press,Transmission,Night,1023,358050,1146,82,89,97,66.52,,,,,,,,36,0.6,Mechanical Failure,129,41,,
2023-01-02,P01,Pune,M013,Milling,Engine Parts,Morning,808,297344,880,93,97,98,76.78,,,,,,,,33,0.55,Preventive Maintenance,186,19,,
2023-01-02,P01,Pune,M014,Welder,Transmission,Night,1004,366460,1147,84,84,97,69.06,ORD1035,2022-12-28,281662,2023-01-02,Processing,,,11,0.183333333,Quality Check,165,32,Delayed,10
2023-01-02,P01,Pune,M015,Welder,Exhaust,Morning,757,281604,866,88,92,98,68.27,,,,,,,,48,0.8,Tool Change,186,23,,
2023-01-02,P01,Pune,M016,Press,Suspension,Morning,915,372405,901,95,96,97,80.56,,,,,,,,23,0.383333333,Electrical Fault,140,43,,
2023-01-02,P01,Pune,M017,CNC,Exhaust,Morning,865,363300,888,89,87,97,68.87,,,,,,,,13,0.216666667,Power Outage,144,40,,
2023-01-02,P01,Pune,M018,CNC,Exhaust,Morning,913,380721,888,89,97,99,75.99,,,,,,,,28,0.466666667,Operator Error,189,43,,
2023-01-02,P01,Pune,M019,Drill,Suspension,Morning,737,302170,856,94,97,99,88.84,,,,,,,,10,0.166666667,Software Issue,170,37,,
2023-01-02,P01,Pune,M020,Lathe,Exhaust,Night,975,399750,992,79,88,97,57.59,,,,,,,,47,0.783333333,Power Outage,126,20,,
2023-01-02,P01,Pune,M021,Press,Chassis,Morning,997,384842,990,94,97,97,82.43,,,,,,,,10,0.166666667,Electrical Fault,174,43,,
2023-01-02,P01,Pune,M022,Grinder,Transmission,Morning,1038,429732,1082,85,95,96,62.72,,,,,,,,51,0.85,Preventive Maintenance,133,32,,
2023-01-02,P01,Pune,M023,Press,Engine Parts,Morning,1040,369200,1149,86,97,97,75.52,,,,,,,,20,0.333333333,Preventive Maintenance,196,30,,
2023-01-02,P01,Pune,M024,CNC,Transmission,Morning,946,375562,1021,90,92,98,73.54,,,,,,,,34,0.566666667,Mechanical Failure,184,24,,
2023-01-02,P01,Pune,M025,Drill,Brakes,Night,1128,423000,1081,76,80,98,54.89,ORD1036,2022-12-28,492967,2023-01-07,Shipped,,,53,0.883333333,Tool Change,143,23,OnTime,5
2023-01-02,P02,Chennai,M001,Milling,Brakes,Morning,939,354003,1082,95,88,98,71.86,ORD1037,2022-12-28,425769,2023-01-03,Produced,,,25,0.416666667,Preventive Maintenance,102,18,Delayed,10
2023-01-02,P02,Chennai,M002,Welder,Chassis,Night,1127,450800,1184,88,83,97,61.26,ORD1038,2022-12-27,430104,2023-01-03,Produced,,,58,0.966666667,Tool Change,128,37,Delayed,15
2023-01-02,P02,Chennai,M003,Press,Brakes,Morning,1001,358358,972,90,85,97,70.11,ORD1039,2022-12-31,432551,2023-01-08,Processing,,,38,0.633333333,Electrical Fault,179,27,Delayed,8
2023-01-02,P02,Chennai,M004,Milling,Exhaust,Morning,845,348985,969,87,92,98,70.09,,,,,,,,21,0.35,Calibration,126,36,,
2023-01-02,P02,Chennai,M005,CNC,Brakes,Morning,868,348068,939,90,91,99,68.43,,,,,,,,60,1,Power Outage,106,37,,
2023-01-02,P02,Chennai,M006,Press,Brakes,Morning,1082,438210,1192,85,86,97,65.69,,,,,,,,36,0.6,Tool Change,151,34,,
2023-01-02,P02,Chennai,M007,Drill,Transmission,Morning,842,301436,959,96,96,99,84.15,,,,,,,,59,0.983333333,Electrical Fault,159,41,,
2023-01-02,P02,Chennai,M008,Lathe,Exhaust,Night,1141,450695,1088,82,90,98,68.5,,,,,,,,28,0.466666667,Tool Change,135,22,,
2023-01-02,P02,Chennai,M009,Grinder,Transmission,Morning,1015,387730,1145,92,88,97,66.36,,,,,,,,51,0.85,Electrical Fault,196,42,,
2023-01-02,P02,Chennai,M010,Welder,Engine Parts,Morning,953,361187,1017,86,93,97,65.4,ORD1040,2022-12-29,497886,2023-01-06,Shipped,,,58,0.966666667,Material Shortage,114,18,OnTime,4
2023-01-02,P02,Chennai,M011,Press,Engine Parts,Morning,816,301920,895,88,95,97,70.36,,,,,,,,20,0.333333333,Calibration,176,30,,
