Date,Plant_ID,Plant_Name,Machine_ID,Machine_Type,Product_Line,Shift,Production_Units,Production_Value,Target_Production,Availability,Performance,Quality_Rate,OEE
02-01-2023,P01,Pune,M002,Drill,Suspension,Night,797,302063,845,84,79,96,59.26
02-01-2023,P01,Pune,M003,Welder,Brakes,Night,1002,399798,979,75,88,96,59.04
02-01-2023,P01,Pune,M004,Lathe,Suspension,Morning,995,361185,1161,96,88,96,74.44
02-01-2023,P01,Pune,M005,Milling,Brakes,Morning,610,224480,1018,96,90,96,58.18
02-01-2023,P01,Pune,M006,Welder,Chassis,Morning,1123,414387,1155,97,89,98,72.51
02-01-2023,P01,Pune,M007,Welder,Exhaust,Night,760,305520,829,77,80,98,54.54
02-01-2023,P01,Pune,M008,Press,Suspension,Morning,830,324530,828,93,94,96,76.46
02-01-2023,P01,Pune,M009,Welder,Transmission,Night,795,286995,924,84,92,95,64.17
02-01-2023,P01,Pune,M010,Press,Exhaust,Morning,1127,416990,1140,95,86,96,77.33
02-01-2023,P01,Pune,M011,Welder,Exhaust,Night,843,300951,889,90,85,97,64.28
02-01-2023,P01,Pune,M012,Press,Transmission,Night,1023,358050,1146,82,89,97,66.52
02-01-2023,P01,Pune,M013,Milling,Engine Parts,Morning,808,297344,880,93,97,98,76.78
02-01-2023,P01,Pune,M014,Welder,Transmission,Night,1004,366460,1147,84,84,97,69.06
02-01-2023,P01,Pune,M015,Welder,Exhaust,Morning,757,281604,866,88,92,98,68.27
02-01-2023,P01,Pune,M016,Press,Suspension,Morning,915,372405,901,95,96,97,80.56
02-01-2023,P01,Pune,M017,CNC,Exhaust,Morning,865,363300,888,89,87,97,68.87
02-01-2023,P01,Pune,M018,CNC,Exhaust,Morning,913,380721,888,89,97,99,75.99
02-01-2023,P01,Pune,M019,Drill,Suspension,Morning,737,302170,856,94,97,99,88.84
02-01-2023,P01,Pune,M020,Lathe,Exhaust,Night,975,399750,992,79,88,97,57.59
02-01-2023,P01,Pune,M021,Press,Chassis,Morning,997,384842,990,94,97,97,82.43
02-01-2023,P01,Pune,M022,Grinder,Transmission,Morning,1038,429732,1082,85,95,96,62.72
02-01-2023,P01,Pune,M023,Press,Engine Parts,Morning,1040,369200,1149,86,97,97,75.52
02-01-2023,P01,Pune,M024,CNC,Transmission,Morning,946,375562,1021,90,92,98,73.54
02-01-2023,P01,Pune,M025,Drill,Brakes,Night,1128,423000,1081,76,80,98,54.89
02-01-2023,P02,Chennai,M001,Milling,Brakes,Morning,939,354003,1082,95,88,98,71.86
02-01-2023,P02,Chennai,M002,Welder,Chassis,Night,1127,450800,1184,88,83,97,61.26
02-01-2023,P02,Chennai,M003,Press,Brakes,Morning,1001,358358,972,90,85,97,70.11
02-01-2023,P02,Chennai,M004,Milling,Exhaust,Morning,845,348985,969,87,92,98,70.09
02-01-2023,P02,Chennai,M005,CNC,Brakes,Morning,868,348068,939,90,91,99,68.43
02-01-2023,P02,Chennai,M006,Press,Brakes,Morning,1082,438210,1192,85,86,97,65.69
02-01-2023,P02,Chennai,M007,Drill,Transmission,Morning,842,301436,959,96,96,99,84.15
02-01-2023,P02,Chennai,M008,Lathe,Exhaust,Night,1141,450695,1088,82,90,98,68.5
02-01-2023,P02,Chennai,M009,Grinder,Transmission,Morning,1015,387730,1145,92,88,97,66.36
02-01-2023,P02,Chennai,M010,Welder,Engine Parts,Morning,953,361187,1017,86,93,97,65.4
02-01-2023,P02,Chennai,M011,Press,Engine Parts,Morning,816,301920,895,88,95,97,70.36
02-01-2023,P02,Chennai,M012,CNC,Engine Parts,Night,854,299754,988,81,83,98,56.45
02-01-2023,P02,Chennai,M013,Grinder,Transmission,Morning,1127,404593,1114,96,91,99,75.04
02-01-2023,P02,Chennai,M014,Drill,Suspension,Morning,1088,425408,1082,87,85,98,68.03
02-01-2023,P02,Chennai,M015,Lathe,Exhaust,Night,922,329154,1071,81,92,97,60.88
02-01-2023,P02,Chennai,M016,Press,Suspension,Morning,779,290567,865,96,94,96,76.97
02-01-2023,P02,Chennai,M017,CNC,Engine Parts,Night,883,354966,851,77,89,95,59.71
02-01-2023,P02,Chennai,M018,Milling,Engine Parts,Night,952,396032,925,89,79,95,54.99
02-01-2023,P02,Chennai,M019,Milling,Transmission,Morning,908,336868,1054,90,86,97,63.54
02-01-2023,P02,Chennai,M020,Drill,Engine Parts,Night,1105,447525,1159,81,81,98,62.3
02-01-2023,P02,Chennai,M021,Lathe,Transmission,Morning,1042,406380,1158,96,95,99,82.26
02-01-2023,P02,Chennai,M022,Press,Chassis,Night,922,381708,936,77,78,98,54.31
02-01-2023,P02,Chennai,M023,Press,Brakes,Morning,1099,448392,1068,88,88,99,67.67
02-01-2023,P02,Chennai,M024,Grinder,Brakes,Night,813,307314,929,77,87,96,56.71
02-01-2023,P02,Chennai,M025,Drill,Engine Parts,Night,1209,475137,1195,87,82,97,60.93
02-01-2023,P03,Gurgaon,M001,Press,Chassis,Night,932,349500,1039,76,79,95,56.17
02-01-2023,P03,Gurgaon,M002,Press,Transmission,Night,1041,379965,1145,78,89,98,61.31
02-01-2023,P03,Gurgaon,M003,Welder,Exhaust,Morning,831,315780,832,91,88,99,71.15
02-01-2023,P03,Gurgaon,M004,Grinder,Suspension,Night,971,398110,1023,83,86,98,62.82
02-01-2023,P03,Gurgaon,M005,Welder,Exhaust,Night,1171,428586,1188,89,80,97,58.41
02-01-2023,P03,Gurgaon,M006,Drill,Suspension,Morning,1129,398537,1144,90,93,96,73.41
02-01-2023,P03,Gurgaon,M007,Press,Engine Parts,Night,826,319662,827,83,79,97,57.43
02-01-2023,P03,Gurgaon,M008,Milling,Transmission,Night,1073,378769,1092,83,78,96,56.29
02-01-2023,P03,Gurgaon,M009,Drill,Suspension,Night,1142,438528,1199,78,82,96,54.54
02-01-2023,P03,Gurgaon,M010,Grinder,Engine Parts,Night,988,347776,981,89,79,97,56.61
02-01-2023,P03,Gurgaon,M011,Drill,Chassis,Morning,1178,464132,1183,88,94,99,81.16
02-01-2023,P03,Gurgaon,M012,Press,Suspension,Night,991,405319,963,84,92,97,70.24
02-01-2023,P03,Gurgaon,M013,Lathe,Chassis,Night,1088,424320,1077,89,89,95,62.49
02-01-2023,P03,Gurgaon,M014,Grinder,Transmission,Night,917,380555,1020,89,86,98,68.87
02-01-2023,P03,Gurgaon,M015,Lathe,Brakes,Morning,911,375332,961,86,85,99,58.92
02-01-2023,P03,Gurgaon,M016,Lathe,Suspension,Morning,1107,450549,1068,87,90,97,70.63
02-01-2023,P03,Gurgaon,M017,Grinder,Chassis,Morning,987,372099,1015,93,85,96,69.4
02-01-2023,P03,Gurgaon,M018,Press,Chassis,Night,1126,450400,1121,89,86,96,68.85
02-01-2023,P03,Gurgaon,M019,Grinder,Suspension,Night,990,397980,1028,80,85,98,59.56
02-01-2023,P03,Gurgaon,M020,Welder,Suspension,Morning,823,316032,955,89,95,96,79.24
02-01-2023,P03,Gurgaon,M021,Drill,Brakes,Morning,933,389061,906,96,92,99,82.16
02-01-2023,P03,Gurgaon,M022,Welder,Brakes,Night,762,290322,805,82,87,95,56.36
02-01-2023,P03,Gurgaon,M023,Welder,Chassis,Morning,995,404965,1110,95,89,96,71.85
02-01-2023,P03,Gurgaon,M024,Drill,Chassis,Morning,1186,418658,1132,87,93,96,62.97
02-01-2023,P03,Gurgaon,M025,Press,Suspension,Night,1165,455515,1192,77,84,96,54.83
02-01-2023,P04,Bengaluru,M001,Press,Exhaust,Night,946,385968,922,75,78,95,52.25
02-01-2023,P04,Bengaluru,M002,CNC,Engine Parts,Night,901,365806,907,83,90,95,58.73
02-01-2023,P04,Bengaluru,M003,Welder,Brakes,Morning,1088,416704,1199,87,92,97,78.2
02-01-2023,P04,Bengaluru,M004,Press,Engine Parts,Night,778,290972,871,76,78,97,50.24
02-01-2023,P04,Bengaluru,M005,Welder,Suspension,Morning,866,330812,1018,94,88,99,69.03
02-01-2023,P04,Bengaluru,M006,CNC,Engine Parts,Morning,958,376494,1075,88,85,96,66.19
02-01-2023,P04,Bengaluru,M007,Drill,Engine Parts,Morning,802,294334,816,94,90,98,79.02
02-01-2023,P04,Bengaluru,M008,Lathe,Exhaust,Night,1003,352053,1048,76,86,95,52.68
02-01-2023,P04,Bengaluru,M009,Drill,Brakes,Morning,817,306375,873,87,93,98,71.73
02-01-2023,P04,Bengaluru,M010,Welder,Exhaust,Night,1064,440496,1062,84,78,97,57.33
02-01-2023,P04,Bengaluru,M011,Milling,Exhaust,Morning,970,389940,1044,97,88,96,69.35
02-01-2023,P04,Bengaluru,M012,Grinder,Exhaust,Night,993,412095,1160,85,80,97,58.93
02-01-2023,P04,Bengaluru,M013,Grinder,Chassis,Night,961,381517,1100,83,81,98,57.5
02-01-2023,P04,Bengaluru,M014,CNC,Suspension,Night,816,307632,957,81,87,95,56.98
02-01-2023,P04,Bengaluru,M015,Lathe,Suspension,Morning,983,371574,1147,92,85,96,60.87
02-01-2023,P04,Bengaluru,M016,Lathe,Transmission,Night,1096,460320,1154,84,78,97,64.62
02-01-2023,P04,Bengaluru,M017,Lathe,Suspension,Morning,824,297464,868,98,86,98,77.73
02-01-2023,P04,Bengaluru,M018,Milling,Engine Parts,Morning,709,253113,828,87,87,99,67.9
02-01-2023,P04,Bengaluru,M019,Press,Exhaust,Night,1028,393724,1045,81,82,97,53.3
02-01-2023,P04,Bengaluru,M020,CNC,Engine Parts,Night,739,271952,856,89,82,95,63.17
02-01-2023,P04,Bengaluru,M021,Drill,Suspension,Night,780,304200,901,86,78,98,54.65
02-01-2023,P04,Bengaluru,M022,Lathe,Transmission,Night,706,279576,820,76,84,95,52.82
02-01-2023,P04,Bengaluru,M023,Press,Suspension,Morning,998,377244,1147,98,95,99,88.48
02-01-2023,P04,Bengaluru,M024,Press,Chassis,Morning,948,334644,1115,92,93,98,76.1
02-01-2023,P04,Bengaluru,M025,Lathe,Chassis,Night,947,363648,1048,87,92,96,70.37
02-01-2023,P05,Delhi,M001,Grinder,Exhaust,Night,1031,402090,1120,86,83,98,65.48
02-01-2023,P05,Delhi,M002,Drill,Exhaust,Night,1094,440882,1189,86,83,97,56.49
02-01-2023,P05,Delhi,M003,Lathe,Brakes,Morning,860,328520,948,90,96,98,70.26
02-01-2023,P05,Delhi,M004,Drill,Brakes,Night,927,324450,975,87,89,95,65.73
02-01-2023,P05,Delhi,M005,Drill,Exhaust,Morning,822,308250,827,96,85,97,77.85
02-01-2023,P05,Delhi,M006,Milling,Transmission,Morning,1202,488012,1174,93,93,99,71.72
02-01-2023,P05,Delhi,M007,Grinder,Brakes,Morning,1114,450056,1074,93,87,97,74.4
02-01-2023,P05,Delhi,M008,Grinder,Engine Parts,Morning,754,284258,882,90,95,96,79.38
02-01-2023,P05,Delhi,M009,CNC,Engine Parts,Morning,861,341817,898,98,91,98,72.61
02-01-2023,P05,Delhi,M010,Grinder,Exhaust,Morning,889,359156,984,95,93,97,85.76
02-01-2023,P05,Delhi,M011,Milling,Suspension,Night,898,334056,983,80,78,95,54.51
02-01-2023,P05,Delhi,M012,CNC,Suspension,Night,900,372600,978,85,83,97,64.68
02-01-2023,P05,Delhi,M013,Milling,Chassis,Night,1086,456120,1082,89,85,95,65.29
02-01-2023,P05,Delhi,M014,Milling,Engine Parts,Night,786,288462,807,78,84,97,55.11
02-01-2023,P05,Delhi,M015,Grinder,Chassis,Night,786,318330,845,76,78,98,49.31
02-01-2023,P05,Delhi,M016,CNC,Brakes,Morning,911,363489,934,89,95,99,81.26
02-01-2023,P05,Delhi,M017,Grinder,Brakes,Night,853,300256,845,79,78,95,54.6
02-01-2023,P05,Delhi,M018,Lathe,Transmission,Night,752,303056,811,83,86,96,63.76
02-01-2023,P05,Delhi,M019,Press,Brakes,Morning,1057,401660,1190,86,96,99,65.63
02-01-2023,P05,Delhi,M020,Welder,Exhaust,Morning,1164,473748,1156,86,88,96,64.32
02-01-2023,P05,Delhi,M021,Welder,Transmission,Night,755,271045,816,86,92,95,71.01
02-01-2023,P05,Delhi,M022,Milling,Transmission,Night,883,368211,850,84,92,97,66.46
02-01-2023,P05,Delhi,M023,Grinder,Brakes,Night,919,336354,916,89,78,95,57.4
02-01-2023,P05,Delhi,M024,Press,Brakes,Night,1039,432224,1144,84,89,95,62.41
02-01-2023,P05,Delhi,M025,Lathe,Engine Parts,Morning,813,284550,934,93,97,98,77.21
03-01-2023,P01,Pune,M001,Milling,Exhaust,Night,905,323990,880,80,79,97,55.43
03-01-2023,P01,Pune,M002,Drill,Engine Parts,Morning,840,296520,868,95,85,98,70.87
03-01-2023,P01,Pune,M003,Welder,Chassis,Morning,826,315532,922,94,93,97,73.71
03-01-2023,P01,Pune,M004,Lathe,Suspension,Morning,1084,432516,1121,89,89,98,71.38
03-01-2023,P01,Pune,M005,Milling,Suspension,Morning,714,268464,1190,92,97,99,56.39
03-01-2023,P01,Pune,M006,Welder,Chassis,Morning,1027,359450,1023,92,94,98,81.19
03-01-2023,P01,Pune,M007,Welder,Brakes,Night,802,282304,862,77,88,95,60.78
03-01-2023,P01,Pune,M008,Press,Suspension,Morning,1207,436934,1154,93,88,98,67.48
03-01-2023,P01,Pune,M009,Welder,Suspension,Morning,1118,413660,1091,94,90,99,74.91
03-01-2023,P01,Pune,M010,Press,Chassis,Morning,968,359128,1086,86,86,98,70.23
03-01-2023,P01,Pune,M011,Welder,Exhaust,Night,826,332878,918,77,89,97,62.05
03-01-2023,P01,Pune,M012,Press,Engine Parts,Morning,1071,446607,1040,97,89,96,79.76
03-01-2023,P01,Pune,M013,Milling,Chassis,Night,999,365634,1026,84,80,97,63.61
03-01-2023,P01,Pune,M014,Welder,Suspension,Morning,875,358750,885,91,85,97,63.21
03-01-2023,P01,Pune,M015,Welder,Chassis,Morning,1181,428703,1199,89,86,97,62.02
03-01-2023,P01,Pune,M016,Press,Transmission,Morning,1020,394740,1060,97,94,97,80
03-01-2023,P01,Pune,M017,CNC,Engine Parts,Night,1072,409504,1066,75,90,97,53.11
03-01-2023,P01,Pune,M018,CNC,Transmission,Morning,1087,434800,1145,90,96,98,83.76
03-01-2023,P01,Pune,M019,Drill,Brakes,Night,712,281240,830,77,91,98,62.74
03-01-2023,P01,Pune,M020,Lathe,Suspension,Morning,921,351822,1021,94,90,99,78.48
03-01-2023,P01,Pune,M021,Press,Engine Parts,Night,800,284800,828,85,91,95,68.92
03-01-2023,P01,Pune,M022,Grinder,Suspension,Morning,850,356150,919,96,89,96,75.85
03-01-2023,P01,Pune,M023,Press,Suspension,Morning,711,294354,823,92,93,96,76.86
03-01-2023,P01,Pune,M024,CNC,Exhaust,Morning,724,291048,825,92,96,98,81.98
03-01-2023,P01,Pune,M025,Drill,Engine Parts,Night,851,302956,955,90,91,95,74.79
03-01-2023,P02,Chennai,M001,Milling,Brakes,Night,1025,410000,1126,88,80,95,64.98
03-01-2023,P02,Chennai,M002,Welder,Engine Parts,Morning,1104,408480,1184,92,93,96,72.85
03-01-2023,P02,Chennai,M003,Press,Exhaust,Night,914,376568,941,86,91,95,65.07
03-01-2023,P02,Chennai,M004,Milling,Transmission,Night,806,323206,867,88,78,98,64.83
03-01-2023,P02,Chennai,M005,CNC,Exhaust,Morning,1205,483205,1175,94,85,97,67.85
